vf,width,thickness,k11,k33,p,t,h
0.37006,0.63444,0.42819,1.26944,0.31936,1,0,0
0.76494,0.73331,0.10356,2.09992,0.33095,1,0,0
0.65219,0.50794,0.57956,1.49792,0.39013,1,0,0
0.73806,0.45731,0.15106,1.56503,0.29433,1,0,0
0.62456,0.12894,0.05531,0.87464,0.22369,1,0,0
0.62456,0.12894,0.05531,0.87464,0.22369,1,0,0
0.46769,0.03331,0.00256,0.60871,0.20514,1,0,0
0.04806,0.30531,0.32494,0.56065,0.221,1,0,0
0.23631,0.02056,0.51981,0.45935,0.22528,1,0,0
0.57281,0.16581,0.97506,0.79571,0.35026,1,0,0
0.61281,0.66806,0.41956,1.71517,0.37443,1,0,0
0.98631,0.98556,0.61344,2.55853,0.60629,1,0,0
0.39281,0.10444,0.78194,0.6392,0.28605,1,0,0
0.26519,0.90269,0.82719,1.12587,0.41633,1,0,0
0.04831,0.55131,0.84119,0.6798,0.31512,1,0,0
0.61481,0.41244,0.37906,1.32741,0.31868,1,0,0
0.48044,0.60256,0.46019,1.36971,0.34087,1,0,0
0.39431,0.61694,0.17869,1.31042,0.27,1,0,0
0.50694,0.89419,0.75356,1.55468,0.47139,1,0,0
0.37744,0.06219,0.71831,0.5338,0.25962,1,0,0
0.93994,0.11481,0.54319,1.03148,0.32436,1,0,0
0.96631,0.65931,0.15556,2.36394,0.37923,1,0,0
0.57931,0.99169,0.18319,1.97877,0.33242,1,0,0
0.85894,0.12869,0.76519,0.98741,0.35662,1,0,0
0.11781,0.67381,0.76481,0.85133,0.33784,1,0,0
0.74819,0.24094,0.75081,1.11886,0.37586,1,0,0
0.02144,0.67681,0.15344,0.77024,0.22192,1,0,0
0.48056,0.07781,0.77944,0.63986,0.28701,1,0,0
0.80681,0.91781,0.94444,1.90276,0.62115,1,0,0
0.85506,0.06431,0.35756,0.80498,0.26008,1,0,0
0.08819,0.67756,0.54794,0.84473,0.29216,1,0,0
0.03619,0.47006,0.41344,0.64316,0.24101,1,0,0
0.77144,0.44844,0.90469,1.4493,0.48871,1,0,0
0.13844,0.80006,0.77681,0.92497,0.35883,1,0,0
0.60456,0.89756,0.96944,1.55957,0.55052,1,0,0
0.58494,0.71506,0.97456,1.45258,0.51976,1,0,0
0.51144,0.03856,0.28256,0.61765,0.22426,1,0,0
0.09106,0.61869,0.52269,0.81623,0.28122,1,0,0
0.61831,0.83269,0.70394,1.74083,0.48195,1,0,0
0.21581,0.19769,0.52431,0.59137,0.24541,1,0,0
0.38369,0.07194,0.14606,0.59199,0.20967,1,0,0
0.35419,0.77344,0.21819,1.3956,0.28453,1,0,0
0.86231,0.91081,0.94969,1.98632,0.64584,1,0,0
0.12556,0.24494,0.49244,0.59483,0.24292,1,0,0
0.20031,0.42856,0.18706,0.84475,0.23197,1,0,0
0.80656,0.97281,0.20581,2.42556,0.39013,1,0,0
0.24369,0.36794,0.92881,0.77809,0.34212,1,0,0
0.35681,0.14206,0.31544,0.68487,0.23299,1,0,0
0.52631,0.83644,0.72731,1.58167,0.46208,1,0,0
0.44844,0.41981,0.84656,1.05732,0.38135,1,0,0
0.06669,0.00094,0.05731,0.37795,0.19139,1,0,0
0.08856,0.88819,0.65531,0.88782,0.3277,1,0,0
0.43369,0.62106,0.65556,1.30778,0.38522,1,0,0
0.54956,0.73031,0.97894,1.4048,0.51201,1,0,0
0.20119,0.99294,0.72531,1.07587,0.37891,1,0,0
0.24569,0.80131,0.47419,1.19087,0.32484,1,0,0
0.30694,0.88931,0.22794,1.37669,0.28535,1,0,0
0.84831,0.89019,0.63669,2.2089,0.54684,1,0,0
0.52094,0.64669,0.04344,1.58171,0.27383,1,0,0
0.42794,0.71994,0.09194,1.48846,0.27054,1,0,0
0.97056,0.39006,0.39506,1.71753,0.3874,1,0,0
0.20744,0.83194,0.72344,1.05717,0.37071,1,0,0
0.54094,0.50306,0.17706,1.38839,0.2785,1,0,0
0.63481,0.23994,0.32344,1.06869,0.27825,1,0,0
0.66019,0.52756,0.03244,1.62877,0.27888,1,0,0
0.84731,0.17269,0.74056,1.02285,0.3578,1,0,0
0.19881,0.30394,0.10719,0.72173,0.2155,1,0,0
0.64956,0.39731,0.82081,1.26733,0.41637,1,0,0
0.81606,0.55694,0.11906,1.91131,0.32028,1,0,0
0.22894,0.20994,0.25669,0.64413,0.22261,1,0,0
0.45006,0.71269,0.87156,1.31564,0.45492,1,0,0
0.73194,0.09319,0.22831,0.87877,0.24346,1,0,0
0.65269,0.97581,0.97581,1.62773,0.57507,1,0,0
0.01206,0.86319,0.77956,0.73148,0.32676,1,0,0
0.78856,0.48019,0.88719,1.54883,0.50222,1,0,0
0.26219,0.63369,0.06806,1.13544,0.24103,1,0,0
0.78706,0.80669,0.09394,2.26213,0.34385,1,0,0
0.67481,0.02781,0.95844,0.65079,0.31963,1,0,0
0.26181,0.30594,0.51844,0.75434,0.26946,1,0,0
0.57631,0.10119,0.99031,0.72597,0.3353,1,0,0
0.11806,0.47819,0.77831,0.73235,0.31095,1,0,0
0.13481,0.86469,0.98619,0.85213,0.40076,1,0,0
0.40531,0.75731,0.42356,1.43669,0.34087,1,0,0
0.07281,0.88531,0.75269,0.83877,0.34264,1,0,0
0.55406,0.02419,0.57456,0.61233,0.25677,1,0,0
